year,issue,issue_link,article_link,title,authors,affiliation,annotation,tags
2024,1,/magno/csr/2024/mn1.php,/artkey/csr-202401-0007_moderni-postupy-v-modelovani-kvantitativnich-socialnevednich-dat.php,Moderní postupy v modelování kvantitativních sociálněvědních dat,Petr Soukup ORCID...,"Fakulta sociálních věd, Univerzita Karlova, Praha",,
2024,1,/magno/csr/2024/mn1.php,/artkey/csr-202401-0002_exponential-random-graph-models-modelling-relational-mechanisms-in-the-inter-organisational-network-of-the-cze.php,Exponenciální modely náhodných grafů: modelování relačních mechanismů na případu sítě organizací zapojených v českém uhelném sektoru,"Tomáš Diviák ORCID...1, Petr Ocelík ORCID...2","1
Department of Criminology a Mitchell Centre for Social Network Analysis, University of Manchester;2
Fakulta sociálních studií, Masarykova univerzita, Brno","This study provides the first comprehensive introduction to exponential random graph models (ERGM) in the Czech academic literature. In it we apply ERGM to a network of 68 organisations involved in the Czech coal policy subsystem. First, we summarise the major limitations of the statistical modelling of network data arising from the interdependencies among observations and explain principled solutions to them provided by ERGM. Next, we discuss ERGM’s metatheoretical assumptions and their embeddedness within the broader context of social science research. We then introduce three types of relational mechanisms (endogenous, individual, and dyadic) operationalised as specific configurations, which we illustrate through the empirical example of an expert information network. Following a descriptive analysis we apply ERGM, breaking it down into three main steps: simulation, estimation, and estimation assessment. We provide a detailed interpretation of the model’s development and results, along with recommendations for building a model and solutions to convergence failure problems. One important finding is that one predictor of the exchange of expert information is ideological homophily, which reduces the potential of expertise to seek compromise solutions. We close with a discussion of the results and ERGM extensions to apply to more complex types of network data such as bipartite and multiplex networks and valued and longitudinal data.","Klíčová slova: social network analysis, exponential random graph models, political networks, social mechanisms, statistical models"
2024,1,/magno/csr/2024/mn1.php,/artkey/csr-202401-0001_testing-the-psychometric-properties-and-equivalence-of-the-czech-version-of-the-satisfaction-with-life-scale-s.php,"Testování psychometrických vlastností a ekvivalence české verze škály spokojenosti se životem (SWLS) pomocí metod konfirmační faktorové analýzy, teorie odpovědi na položku a bayesovského modelování","Radka Hanzlová ORCID..., Petra Raudenská ORCID...","Sociologický ústav AV ČR, v. v. i., Praha","The Satisfaction with Life Scale (SWLS) is one of the most commonly used instruments for measuring life satisfaction. The aim of this study is to test the psychometric properties of the Czech version of the SWLS using Confirmatory Factor Analysis (CFA) and Item Response Theory (IRT) and to test its invariance between social groups in terms of gender, age, and education using Bayesian modelling on a representative sample of the Czech online population, as the scale has not yet been tested on representative data in the Czech Republic. The research sample consists of 960 respondents aged 18 to 69 years. The results confirmed that the psychometric properties of the Czech version of the SWLS are very good, but, at the same time, it is evident that the fifth item shows worse results than the other four items. In terms of dimensionality, CFA and IRT confirmed its modified single-factor structure with correlated residuals between the fourth and fifth items as the most appropriate. Testing for approximate measurement invariance using Bayesian modelling showed that the SWLS measures comparably between groups based on gender, age, and education. In conclusion, the Czech version of the SWLS is a suitable, verified, and reliable instrument for measuring the life satisfaction of Czech citizens.","Klíčová slova: SWLS, Confirmatory Factor Analysis (CFA), Item Response Theory (IRT), Bayesian modelling BSEM, psychometrics, measurement invariance"
2024,1,/magno/csr/2024/mn1.php,/artkey/csr-202401-0003_the-use-of-multilevel-models-in-analysing-contextual-effects-of-labour-force-participation-rate-on-redistributi.php,Využití víceúrovňových modelů při analýze kontextuálních efektů míry ekonomické aktivity na podporu přerozdělování v komparativních longitudinálních datech,Ivan Petrúšek ORCID...,"Sociologický ústav AV ČR, v. v. i., Praha","This article studies the links between a country’s labour force participation rate and attitudes towards income redistribution. The article also demonstrates how to specify a multilevel model when analysing contextual effects and it presents several types of random effects structures and options for centering explanatory variables in comparative longitudinal survey data. The contextual effect is decomposed into longitudinal and cross-sectional components for time-varying contextual variables, such as the labour force participation rate. The analysis of redistribution support based on ESS data from 27 countries and nine rounds shows how fundamentally the mentioned properties can influence substantive conclusions. The analyses presented in this article do not provide any evidence for a link between redistribution support and the labour force participation rate. However, the hypothetical configurations of multilevel models presented here cover all possible substantive effects of the labour force participation rate. Contextual effects analysis may thus lead to highly unreliable results when a multilevel model fails to control for the compositional effects of individual-level predictors, when it does not specify random effects at the level to which a substantial variation of the outcome variable may be attributed, and when it does not distinguish between the longitudinal and cross-sectional effects of time-varying variables.","Klíčová slova: multilevel models, contextual effects, redistribution support, random effects, centring variables, comparative longitudinal data"
2024,1,/magno/csr/2024/mn1.php,/artkey/csr-202401-0008_nektere-mene-zname-postupy-otevrene-vedy-v-sociologii-predregistrace-a-registrovane-reporty.php,Některé méně známé postupy otevřené vědy v sociologii: Předregistrace a registrované reporty,"Jan Urban ORCID...1,2, Veronika Anna Černá ORCID...1","1
Fakulta sociálních věd, Univerzita Karlova, Praha;2
Ústav pro výzkum globální změny, Akademie věd ČR, Praha",,
2024,1,/magno/csr/2024/mn1.php,/artkey/csr-202401-0006_eva-m-hejzlarova-magdalena-mouralova-a-martina-stepankova-stybrova-eds-fantasticka-data-ve-verejne-politi.php,"Eva M. Hejzlarová, Magdalena Mouralová a Martina Štěpánková Štýbrová (eds.): Fantastická data ve veřejné politice a jak je využít",Vít Beneš,Metropolitní univerzita Praha,,
2024,1,/magno/csr/2024/mn1.php,/artkey/csr-202401-0004_jan-keller-soucasna-francouzska-sociologie.php,Jan Keller: Současná francouzská sociologie,Miroslav Tížik,"Sociologický ústav SAV, v. v. i., a Pedagogická fakulta Univerzity Komenského v Bratislave",,
2024,1,/magno/csr/2024/mn1.php,/artkey/csr-202401-0005_dashun-wang-albert-laszlo-barabasi-the-science-of-science.php,"Dashun Wang, Albert-László Barabási: The Science of Science",David Janků,"Fakulta sociálních věd, Univerzita Karlova",,
2023,6,/magno/csr/2023/mn6.php,/artkey/csr-202306-0001_populism-and-growing-welfare-state-agenda-elections-of-2013-and-2017-in-czechia.php,Populism and Growing Welfare State Agenda: Elections of 2013 and 2017 in Czechia,"Tomáš Sirovátka ORCID..., Lucie Novotná ORCID..., Steven Saxonberg ORCID...","Faculty of Social Studies, Masaryk University, Brno","Although previous studies show that welfare policies are important for populist voters, few studies have analysed in depth the social policy proposals of different types of populist parties. Since the Czech Republic is one of the few countries with a strong centrist-populist party that has been in power, this article concentrates on the Czech case and compares this centrist-populist party to the largest right-wing populist party and the main non-populist parties. We argue that the centrist and rightist Czech populist parties have developed different types of welfare agendas. The centrist-populist party supports encompassing and universalist policies (which it links to economic efficiency and administrative improvements); in contrast, the right-wing populist party supports the protection of those in need while preserving the principles of merit and economic incentives.","Klíčová slova: Czech Republic, centrist populism, right-wing populism, welfare state, election programmes"
2023,6,/magno/csr/2023/mn6.php,/artkey/csr-202306-0002_manoeuvring-towards-success-reconstruction-of-the-state-and-its-effective-campaign-countering-corruption-and-s.php,Manoeuvring towards Success: Reconstruction of the State and Its Effective Campaign Countering Corruption and State Capture,"Jaromír Mazák ORCID...1, Lucie Němcová ORCID...2","1
Institute of Sociology, Czech Academy of Sciences, Prague;2
Faculty of Social Sciences, Charles University, Prague","In the period from 2013 to 2017, the Czech Parliament passed five bills against corruption. A civil initiative called Reconstruction of the State was heavily involved in the process. Before the 2013 elections, the initiative prompted the candidates running for an MP mandate to publicly commit to supporting selected legislation proposals. The initiative used a variety of advocacy and campaign tactics to support passing the bills after the elections. This paper uses process tracing to answer the following research questions: (1) What path led to this success?, (2) Is there sufficient evidence about the actual role of the initiative in seeing the proposals passed by the Parliament? and (3) What has determined the initiative’s advocacy decisions? The first research question is treated descriptively, focusing on the key milestones in this historically unique advocacy campaign. To answer the second question, we conducted a non-formal counterfactual assessment of whether the absence of the initiative would have resulted in passing fewer proposals. This is important for evaluating civil society’s potential to effectively influence the political process. Finally, in answering the third question, we show that advocacy tactics have markedly changed throughout the Reconstruction of the State campaign. Building on this observation, we argue that tactics are not only policy- or campaign-specific but also change within a single case.","Klíčová slova: advocacy campaign, state capture, anti-corruption, transparency, civil society, Central and Eastern Europe (CEE)"
