year,issue,issue_link,article_link,title,authors,affiliation,annotation,tags
2023,1,/magno/csr/2023/mn1.php,/artkey/csr-202301-0001_the-stability-of-co-residential-partnerships-after-first-birth-did-the-8216-protective-effect-of-marriage-8.php,Stabilita koresidenčních partnerství po narození prvního dítěte: zesílil po roce 1989 „ochranný efekt manželství“?,"Marcela Trávníčková, Martin Kreidl","Fakulta sociální studií, Masarykova univerzita, Brno","This article investigates the stability of co-residential partnerships after first birth in the Czech Republic. It explores the ‘marriage premium’, which refers to the advantage that children born to married parents have in comparison to other parental arrangements, and also highlights change in the ‘marriage premium’ after 1989. The analysis also examines the effect of marriage timing: Does the marriage premium differ between pre-birth and post-birth marriages? Did the effect of timing also change after 1989? The analysis is based on Czech GGS (Generations and Gender Survey) data from 2005. Direct marriages are the most stable unions, cohabitations are the least stable. Among couples who were not married, the odds of dissolution increased by 142 per cent (in comparison to marriages without pre-marital cohabitation). This ‘marriage premium’ increased after 1989. Marriage timing has come to play an increasingly important role. In the pre-1989 marriage cohort, pre-birth and post-birth marriage had the same stabilising effect. After 1989, however, pre-delivery wedding stabilises unions more than post-delivery legitimising marriages. We conclude that the era of highly individualised partnership choices has clearly shone a light on the consequences of these choices for subsequent union stability.","Klíčová slova: marriage, cohabitation, coresident partnership, union instability"
2023,1,/magno/csr/2023/mn1.php,/artkey/csr-202301-0002_equal-wage-for-equal-work-gender-wage-equality-in-diverse-labour-market-contexts.php,Za stejnou práci stejná odměna? Genderová rovnost v odměňování v různých kontextech trhu práce,"Alena Křížková, Kristýna Pospíšilová","Sociologický ústav AV ČR, v. v. i., Praha","Although international comparisons point to the gender pay gap (GPG) as a significant problem in the Czech labour market, until recently the GPG has not been the subject of deeper research or political attention. Using linked employer–employee data, the article answers the question of whether men and women were paid an equal wage for equal work in 2005–2020 and what part of the total GPG is caused by the segregation of women and men into different occupations, workplaces, and jobs. We also pose these questions separately for the public and private spheres, for selected industries, and for workplaces according to size. Throughout the monitored period, the GPG for equal work is around 10% and another roughly one-half of total GPG is caused by gender segregation. There has been a slight decrease since 2018, especially in workplaces with more than 5000 employees, where, however, the significance of women’s segregation into lower-paid positions is growing. The research confirmed that in more regulated, and therefore more transparent, contexts, such as the public sphere and in large workplaces (but also in small companies with up to 50 employees), the GPG for equal work is smaller than elsewhere. The results point to the need to systematically monitor the GPG and increase the transparency of remuneration systems in the workplace. In connection with the GPG, it will also be necessary to analyse the organisational processes that lead to women’s segregation into occupations, workplaces, and jobs that have lower wages, as well as the growing precarity of the Czech labour market.","Klíčová slova: gender wage gap, equal wage for equal work, gender segregation, wage transparency, linked employer–employee data"
2023,1,/magno/csr/2023/mn1.php,/artkey/csr-202301-0003_are-all-disadvantaged-equal-predictors-of-living-in-hostels-in-czech-socially-excluded-localities.php,Znevýhodnění mezi znevýhodněnými? Prediktory bydlení na ubytovnách v českých sociálně vyloučených lokalitách,"Václav Walach1, Patrik Galeta1, Alica Brendzová2, Petr Kupka1","1
Fakulta filozofická, Západočeská univerzita v Plzni;2
Filozofická fakulta, Univerzita Karlova, Praha","This study explores the relationship between social exclusion and housing tenure. It seeks to identify the factors that increase the chance that inhabitants of socially excluded localities (SELs) in Czechia will live in a hostel (a single room occupancy hotel). Do these factors indicate a higher intensity of social exclusion among people who live in hostels? Do hostels house the more disadvantaged segment of the disadvantaged population, such as the inhabitants of SELs? Our aim is to produce a more nuanced understanding of the different needs of the heterogeneous population of socially excluded localities, which can be used to implement socially inclusive measures. We analyse data obtained in a survey of the population of SELs. We apply binary logistic regression using socio-demographic and socio-economic characteristics of respondents and their households and variables measuring victimisation and respondents’ risk behaviour as predictors. Along with descriptive statistics we present the results of the simple and multiple binary logistic regressions. The multiple model revealed the following predictors to be statistically significant: the share of rent in household income, household size, residential mobility, citizenship, labour status, criminal activity not punished by imprisonment, nationality/ethnicity, and property victimisation of the household. Except for the last two, these factors increase the chance of socially disadvantaged persons living in a hostel. Future research directions and the political implications of our findings are discussed in the conclusion.","Klíčová slova: social exclusion, housing tenure, hostel, single-room occupancy hotels, residential segregation, urban marginality"
2023,1,/magno/csr/2023/mn1.php,/artkey/csr-202301-0004_zemrel-atlas-ceske-socialni-antropologie-josef-kandert-22-cervence-1943-8211-8-prosince-2022.php,Zemřel Atlas české sociální antropologie. Josef Kandert (22. července 1943 – 8. prosince 2022),Zdeněk R. Nešpor,"Sociologický ústav AV ČR, v. v. i., Praha",,
2023,1,/magno/csr/2023/mn1.php,/artkey/csr-202301-0005_tomas-profant-kritika-rozvoje-od-kolonialismu-k-postrozvojove-praxi.php,Tomáš Profant: Kritika rozvoje: Od kolonialismu k postrozvojové praxi,Layla Bartheldi,"Fakulta sociálních věd, Univerzita Karlova, Praha",,
2023,1,/magno/csr/2023/mn1.php,/artkey/csr-202301-0006_lucie-vidovi-ova-marcela-petrova-kafkova-barbora-hubatkova-lucie-galcanova-batista-starnuti-na-venkove-pod.php,"Lucie Vidovićová, Marcela Petrová Kafková, Barbora Hubatková, Lucie Galčanová Batista: Stárnutí na venkově: Podoby aktivního stárnutí a kvalita života v rurálních oblastech",Martina Veverková,"Filozofická fakulta, Univerzita Karlova, Praha",,
2023,1,/magno/csr/2023/mn1.php,/artkey/csr-202301-0007_marie-bohata-a-kolektiv-etika-a-integrita-verejne-spravy.php,Marie Bohatá a kolektiv: Etika a integrita veřejné správy,Aneta Soukopová,"Fakulta sociálních věd, Univerzita Karlova, Praha",,
2022,6,/magno/csr/2022/mn6.php,/artkey/csr-202206-0001_parenting-desires-and-sexual-identities.php,Parenting Desires and Sexual Identities,"Marta Vohlídalová, Hana Maříková","Institute of Sociology, Czech Academy of Sciences, Prague","The paper asks how parenting desires are associated with the construction of sexual identity and what factors most influence whether gays/lesbians, bisexuals, and heterosexuals declaring same-sex attraction want to have (more) children. The subject has been explored mainly in the Western liberal and gay-family-friendly legislation and social environment so far. Our study was conducted in the Czech Republic, a CEE country where sexual minorities face strong legal and social barriers to non-heterosexual parenthood. In an online survey (N = 882) conducted in 2019 among self-identified gay, lesbian, bisexual, and heterosexual people with same-sex attraction, we found a considerable gap in parenting desires by sexual identity. Parenting desires are weaker among homosexuals, especially men, while bisexuals are closer to heterosexuals in their parenting desires. Our research suggests that in the context of discussions of parenthood Czech women are unwilling to identify as lesbians and opt instead to claim a different sexual identity. Our findings indicate that the structural barriers to parenthood thus play a much more important role than the overall liberal-minded atmosphere in the Czech Republic.","Klíčová slova: parenting desires, sexual identities, LGB individuals, Czech Republic/Czechia, CEE country, survey methodology"
2022,6,/magno/csr/2022/mn6.php,/artkey/csr-202206-0002_social-capital-and-workers-job-prospects-in-the-mena-region.php,Social Capital and Workers' Job Prospects in the MENA Region,"Jieun Lee1, Vladimir Hlasny2","1
University of Illinois, Urbana-Champaign;2
United Nations Economic and Social Commission for Western Asia, Beirut","Social networks and collective trust have been studied in relation to civil uprisings such as the Arab Spring events of 2011. Social capital is also an important factor in the Middle East and North African (MENA) labour markets, where 'wasta' family connections are said to affect workers' opportunities. Little is known, however, about MENA citizens' social capital and its composition and distribution across socio-economic groups. As an advanced foundation on which to build future analyses, we propose a stochastic approach for measuring people's social capital using Bayesian clustering, based on three dimensions: level of social activity, quality of social networks, and trust. Applying the method to the 2000-2014 World Values Surveys for 16 MENA countries, we describe the composition and distribution of workers' social capital within and between countries, and estimate ordered-probability regressions of workers' employment outcomes as a function of the dimensions of social capital, workers' demographics, and subjective health assessment. We find that, among the three dimensions of social capital, social trust is most clearly conducive to the employment and full-time status of both genders. The level of social activity is associated with more autonomous, intellectual and creative occupations among men, but only with more creative occupations among women. Higher-quality social networks are associated with more autonomous jobs, but also less creative ones. Interestingly, trust is associated with non-autonomous, manual, and routine jobs. In creative jobs favoured by the Fourth Industrial Revolution, workers are selected from those with higher socializing levels but inhibited networks and trust.","Klíčová slova: employment vulnerability, Middle East and North Africa, social capital, World Values Surveys"
2022,6,/magno/csr/2022/mn6.php,/artkey/csr-202206-0003_exploring-the-factorial-structure-and-criterion-validity-of-institutional-trust-in-slovakia.php,Exploring the Factorial Structure and Criterion Validity of Institutional Trust in Slovakia,"Matúš Grežo1, Magdalena Adamus1,2, Zuzana Kaššaiová1","1
Institute of Experimental Psychology, Slovak Academy  of Sciences, Bratislava;2
Faculty of Economics and Administration,  Masaryk University, Brno","The present study aims to examine the dimensionality and criterion validity of the institutional trust construct in Slovakia using a comprehensive list of thirty-three public institutions. A representative sample of 600 Slovaks first reported their level of trust in institutions and then reported on their social trust, propensity to trust, dispositional trust, and trust radius measures. A holdout cross-validation method was used to evaluate the dimensionality of the institutional trust construct. Exploratory factor analysis yielded a six-factor solution, and the confirmatory factor analysis showed a good overall fit for the five-factor solution that included the following dimensions: political institutions, foreign institutions, social services institutions, order institutions, and media institutions. All five dimensions showed weak-to-moderate relationships with interpersonal trust measures. The present study highlights that delving into the dimensionality of institutional trust may contribute to the understanding of the phenomenon within specific geographical, political, societal, and historical, characteristics of the countries.","Klíčová slova: institutional trust, political trust, media trust, factor analysis"
