id,year,issue,issue_link,article_link,title,authors,first_author_gender,affiliation,annotation,tags,language,topic,top_n_words,representative_document,prob_politics,probs_education,prob_gerontology,prob_gender,prob_parenting,prob_spacetime,prob_migration,prob_partnership,prob_culture_media,prob_housing,prob_rural,prob_environment,prob_methodology,dim1,dim2
1,2023,1,/magno/csr/2023/mn1.php,/artkey/csr-202301-0001_the-stability-of-co-residential-partnerships-after-first-birth-did-the-8216-protective-effect-of-marriage-8.php,Stabilita koresidenčních partnerství po narození prvního dítěte: zesílil po roce 1989 „ochranný efekt manželství“?,"Marcela Trávníčková, Martin Kreidl",female,"Fakulta sociální studií, Masarykova univerzita, Brno","This article investigates the stability of co-residential partnerships after first birth in the Czech Republic. It explores the ‘marriage premium’, which refers to the advantage that children born to married parents have in comparison to other parental arrangements, and also highlights change in the ‘marriage premium’ after 1989. The analysis also examines the effect of marriage timing: Does the marriage premium differ between pre-birth and post-birth marriages? Did the effect of timing also change after 1989? The analysis is based on Czech GGS (Generations and Gender Survey) data from 2005. Direct marriages are the most stable unions, cohabitations are the least stable. Among couples who were not married, the odds of dissolution increased by 142 per cent (in comparison to marriages without pre-marital cohabitation). This ‘marriage premium’ increased after 1989. Marriage timing has come to play an increasingly important role. In the pre-1989 marriage cohort, pre-birth and post-birth marriage had the same stabilising effect. After 1989, however, pre-delivery wedding stabilises unions more than post-delivery legitimising marriages. We conclude that the era of highly individualised partnership choices has clearly shone a light on the consequences of these choices for subsequent union stability.","marriage, cohabitation, coresident partnership, union instability",czech,Partnership,marriage - partnership - family - gender - division - transitions - partners - status - families - sociodemographic,FALSE,0,0,0,0,0,0,0,0.7676287008690194,0,0,0,0,0,11.566116,6.626192
77,2021,5,/magno/csr/2021/mn5.php,/artkey/csr-202105-0001_is-there-a-declining-trend-in-the-intergenerational-transmission-of-divorce.php,Slábne v ČR mezigenerační přenos rozvodu?,"Marcela Trávníčková, Martin Kreidl",female,"Fakulta sociálních studií, Masarykova univerzita, Brno","This study investigates changes in the effect of parental divorce on the odds of union dissolution in children in the Czech Republic. Using survival analysis and Czech GGS data, it shows that the intergeneration transmission of divorce varied over marital cohorts to a significant degree. While parental divorce had insignificant effect in the oldest marriage cohort, it subsequently grew. In the 1980–1989 marriage cohort, the risk of divorce was 3.7 times higher among children of divorced parents than among children whose parents did not divorce. In the most recent marriage cohort (1990–2005), the parental divorce effect weakened but was still significant: children of divorced parents experienced a divorce risk that was twice as high that of children from intact families. This convergence of divorce risks resulted from two parallel trends: the rising divorce risk among children from non-divorced families and the declining divorce risk among children of divorce.","divorce, intergenerational transmission of divorce, population change, survival analysis",czech,Partnership,marriage - partnership - family - gender - division - transitions - partners - status - families - sociodemographic,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,11.610309,6.700866
386,2017,5,/magno/csr/2017/mn5.php,/artkey/csr-201705-0003_the-fourth-age-as-a-specific-field-for-the-expression-of-agency.php,Čtvrtý věk jako specifické pole pro vyjádření aktérství,"Marcela Petrová Kafková, Tatiana Sedláková",female,"Fakulta sociálních studií, Masarykova univerzita, Brno","The concept of the fourth age has until recently been an overlooked topic in social gerontology, which in past decades has focused more closely on the third age. This article provides an overview of commonly applied definitions of the fourth age. It focuses on concepts that do not view the fourth age as an unavoidable stage in life but rather as a stage in which the shared vulnerabilities and responsibilities for care that some older adults may experience need to be recognised. The article devotes a more in-depth discussion to the issue of agency in the fourth age, the possibilities for the existence of agency, and forms of agency. It challenges the idea that the fourth age is a stage in life without agency and argues that agency can be identified through its relational definitions. It also highlights the problems of understanding independence in the context of advanced old age. The article draws attention to the risk of greater polarisation in old age that lies in the positive value ascribed in current social gerontology to the dominant concept of the third age and in associating the negative stereotypes of old age with just the fourth age. The conclusion highlights the problems surrounding the possibility of active ageing in the fourth age.","fourth age, oldest-old, agency, independence, life course, autonomy, active ageing, frailty, identity",czech,Gerontology,care - age - old - women - health - roles - body - active - relationships - role,FALSE,0,0,0,0.7632899793757265,0,0,0,0,0,0,0,0,0,10.011169,3.308491
2,2023,1,/magno/csr/2023/mn1.php,/artkey/csr-202301-0002_equal-wage-for-equal-work-gender-wage-equality-in-diverse-labour-market-contexts.php,Za stejnou práci stejná odměna? Genderová rovnost v odměňování v různých kontextech trhu práce,"Alena Křížková, Kristýna Pospíšilová",female,"Sociologický ústav AV ČR, v. v. i., Praha","Although international comparisons point to the gender pay gap (GPG) as a significant problem in the Czech labour market, until recently the GPG has not been the subject of deeper research or political attention. Using linked employer–employee data, the article answers the question of whether men and women were paid an equal wage for equal work in 2005–2020 and what part of the total GPG is caused by the segregation of women and men into different occupations, workplaces, and jobs. We also pose these questions separately for the public and private spheres, for selected industries, and for workplaces according to size. Throughout the monitored period, the GPG for equal work is around 10% and another roughly one-half of total GPG is caused by gender segregation. There has been a slight decrease since 2018, especially in workplaces with more than 5000 employees, where, however, the significance of women’s segregation into lower-paid positions is growing. The research confirmed that in more regulated, and therefore more transparent, contexts, such as the public sphere and in large workplaces (but also in small companies with up to 50 employees), the GPG for equal work is smaller than elsewhere. The results point to the need to systematically monitor the GPG and increase the transparency of remuneration systems in the workplace. In connection with the GPG, it will also be necessary to analyse the organisational processes that lead to women’s segregation into occupations, workplaces, and jobs that have lower wages, as well as the growing precarity of the Czech labour market.","gender wage gap, equal wage for equal work, gender segregation, wage transparency, linked employer–employee data",czech,Gender & Work,child - children - working - mothers - women - gender - men - work - conditions - equality,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,10.917671,6.2984424
352,2018,1,/magno/csr/2018/mn1.php,/artkey/csr-201801-0003_an-intersection-of-two-life-changes-in-social-x2011-science-research-on-women-s-health.php,Migrace a porod: sociální aspekty prolínání dvou životních změn ve výzkumu perinatálního zdraví žen,"Alena Pařízková, Ema Hrešanová, Alena Glajchová",female,"Filozofická fakulta, Západočeská univerzita v Plzni","When the experiences of migration and becoming a mother intersect, the context and conditions of this have implications for the health of the women and their children. This article presents an overview of social-science research on health and pregnancy among migrant women and on the perinatal and postpartum care they receive. Research on 124 studies on this subject revealed that there are three main themes associated with maternal health in this context: (1) How women are defined and categorised as migrants: This is often based on a single indicator, country of origin or birth. This creates a simplified and homogenising category that then also serves as the basis for the use of more complex categories. (2) The significance of social support for families, especially with respect to informal care, and the fundamental role of language and language barriers in health care. The relationship between migrant women and health-care providers is impacted by cultural differences, which leave women in a vulnerable position. (3) Macro-sociological and epidemiological factors. These are discussed mainly from the perspective of the 'epidemiological paradox', which the authors here deem a rhetorical trick because it conceals the variableness of the findings obtained from perinatal health indicators.","perinatal health, healthy immigrant effect, acculturation, migrant women, epidemiological paradox, health care",czech,Gerontology,care - age - old - women - health - roles - body - active - relationships - role,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,10.907758,4.327707
1232,2009,3,/magno/csr/2009/mn3.php,/artkey/csr-200903-0002_the-conditions-of-parenthood-in-organisations-an-international-comparison.php,The Conditions of Parenthood in Organisations: An International Comparison,"Alena Křížková, Hana Maříková, Radka Dudová, Zdeněk Sloboda",female,"Institute of Sociology AS CR, Prague","The paper focuses on organisations and the conditions for working parents in terms of combining work and care and how those conditions are set up and negotiated in organisations. The research draws on three case studies comparing pairs of companies active in the Czech Republic and in one of the following countries - Germany, France, and Sweden - in the field of engineering. The goal is to explore in depth the conditions that Czech working parents are faced with and that derive from the organisational processes and means and dynamics of negotiating conditions for working parents, and to compare them with the conditions in other countries and identify the sources of variability of these conditions. Important differences between a company's family-friendly practices in its home country and in its Czech branches are primarily determined by the differences in the way in which welfare regimes are set up in individual countries. In addition, the authors identify the following five main interlinked factors explaining the variability of family-friendly policies and practices in organisations: parental (maternity) ideologies, the organisational culture of non-discrimination and equal opportunities, the actors' activity in work relations, the role of trade unions in negotiations, and the given organisation's experience with employees-parents.",": organisations, family-friendly policies, work, gender",english,Gender & Work,child - children - working - mothers - women - gender - men - work - conditions - equality,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,10.732702,5.9949656
1280,2009,1,/magno/csr/2009/mn1.php,/artkey/csr-200901-0003_parents-in-the-labor-market-between-work-and-care.php,Rodiče na trhu práce: mezi prací a péčí,"Alena Křížková, Marta Vohlídalová",female,"Sociologický ústav AV ČR, v. v. i., Praha","In this article the authors map the theoretical arguments on the gender dimension of the welfare state. They propose three integral dimensions of conceptualising the exercise of parenthood in Czech society in relation to gender equality in the labour market that co-determine the position of parents in the labour market. The authors analyse these dimensions using data from two representative sociological surveys. 1) The right to be a parent (to care for one's child) and the right to work: the measures provided in the Czech welfare state are based on the myth that there are two separate worlds of work and care in conformity with the gender principle, even though there are no significant differences between Czech men and women in terms of the value of work in their lives. 2) Equality or non-discrimination in parenthood: the right to work of mothers of young children is violated in the context of generally increasing gender inequalities in the labour market. 3) The opportunity to achieve a work/life balance: in Czech society flexible forms of employment are uncommon, working hours tend to have a fixed start and finish, or there is negative flexibility, which renders a work/life balance impossible. The way in which state policy defines and employers apply the conditions of parenthood in relation to the labour market and in the context of the gender structure of Czech society makes parenthood a significant handicap for the social inclusion of women who are mothers of young children in the Czech Republic.","gender equality, gender and labor market, work/life balance, parenthood, flexible forms of employment, Czech Republic.",czech,Gender & Work,child - children - working - mothers - women - gender - men - work - conditions - equality,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,10.944304,5.964864
3,2023,1,/magno/csr/2023/mn1.php,/artkey/csr-202301-0003_are-all-disadvantaged-equal-predictors-of-living-in-hostels-in-czech-socially-excluded-localities.php,Znevýhodnění mezi znevýhodněnými? Prediktory bydlení na ubytovnách v českých sociálně vyloučených lokalitách,"Václav Walach, Patrik Galeta, Alica Brendzová, Petr Kupka",male,"Fakulta filozofická, Západočeská univerzita v Plzni; Filozofická fakulta, Univerzita Karlova, Praha","This study explores the relationship between social exclusion and housing tenure. It seeks to identify the factors that increase the chance that inhabitants of socially excluded localities (SELs) in Czechia will live in a hostel (a single room occupancy hotel). Do these factors indicate a higher intensity of social exclusion among people who live in hostels? Do hostels house the more disadvantaged segment of the disadvantaged population, such as the inhabitants of SELs? Our aim is to produce a more nuanced understanding of the different needs of the heterogeneous population of socially excluded localities, which can be used to implement socially inclusive measures. We analyse data obtained in a survey of the population of SELs. We apply binary logistic regression using socio-demographic and socio-economic characteristics of respondents and their households and variables measuring victimisation and respondents’ risk behaviour as predictors. Along with descriptive statistics we present the results of the simple and multiple binary logistic regressions. The multiple model revealed the following predictors to be statistically significant: the share of rent in household income, household size, residential mobility, citizenship, labour status, criminal activity not punished by imprisonment, nationality/ethnicity, and property victimisation of the household. Except for the last two, these factors increase the chance of socially disadvantaged persons living in a hostel. Future research directions and the political implications of our findings are discussed in the conclusion.","social exclusion, housing tenure, hostel, single-room occupancy hotels, residential segregation, urban marginality",czech,Housing,households - regional - successful - household - private - barriers - prague - could - population - development,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,7.550293,1.7982694
336,2018,2,/magno/csr/2018/mn2.php,/artkey/csr-201802-0004_the-sources-of-insecurity-in-a-socially-excluded-locality.php,Zdroje nebezpečnosti v sociálně vyloučené lokalitě,Václav Walach,male,"Fakulta filozofická, Západočeská univerzita v Plzni","The present study aims to contribute to the development of sociological research on insecurity in socially excluded localities in the Czech Republic. Inspiration for the conceptualisation of the subject of this study comes from the field of critical security studies and specifically the Copenhagen and Aberystwyth schools of security and feminism. Empirically, the study draws on the author's long-term experience conducting fieldwork in socially excluded localities, mainly in the socially excluded locality Havířov-Šumbark. The study concludes that insecurity cannot be reduced to just the issue of crime or violence, as existing scholarship has done. An element of insecurity in socially excluded localities is also represented by territorial stigmatisation and structural victimisation, that is, fear of the consequences of symbolic pollution and declining living standards or low social status. Symbolic stigmatisation and structural victimisation have a constraining effect on how inhabitants of excluded localities live their everyday lives, albeit in different ways than street crime does.","insecurity, socially excluded localities, physical violence, street crime, territorial stigmatisation, structural victimisation",czech,Others/Unclassified,institutions - exclusion - pandemic - public - schools - local - study - institutional - political - qualitative,FALSE,0,0,0,0,0,0.15187973648028694,0.06828462156277727,0,0.05041419398501242,0,0.05663663136028245,0,0,8.270896,4.152807
8,2022,6,/magno/csr/2022/mn6.php,/artkey/csr-202206-0001_parenting-desires-and-sexual-identities.php,Parenting Desires and Sexual Identities,"Marta Vohlídalová, Hana Maříková",female,"Institute of Sociology, Czech Academy of Sciences, Prague","The paper asks how parenting desires are associated with the construction of sexual identity and what factors most influence whether gays/lesbians, bisexuals, and heterosexuals declaring same-sex attraction want to have (more) children. The subject has been explored mainly in the Western liberal and gay-family-friendly legislation and social environment so far. Our study was conducted in the Czech Republic, a CEE country where sexual minorities face strong legal and social barriers to non-heterosexual parenthood. In an online survey (N = 882) conducted in 2019 among self-identified gay, lesbian, bisexual, and heterosexual people with same-sex attraction, we found a considerable gap in parenting desires by sexual identity. Parenting desires are weaker among homosexuals, especially men, while bisexuals are closer to heterosexuals in their parenting desires. Our research suggests that in the context of discussions of parenthood Czech women are unwilling to identify as lesbians and opt instead to claim a different sexual identity. Our findings indicate that the structural barriers to parenthood thus play a much more important role than the overall liberal-minded atmosphere in the Czech Republic.","parenting desires, sexual identities, LGB individuals, Czech Republic/Czechia, CEE country, survey methodology",english,Gender & Work,child - children - working - mothers - women - gender - men - work - conditions - equality,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,11.376671,5.3140907
