,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,"This article investigates the stability of co-residential partnerships after first birth in the Czech Republic. It explores the ‘marriage premium’, which refers to the advantage that children born to married parents have in comparison to other parental arrangements, and also highlights change in the ‘marriage premium’ after 1989. The analysis also examines the effect of marriage timing: Does the marriage premium differ between pre-birth and post-birth marriages? Did the effect of timing also change after 1989? The analysis is based on Czech GGS (Generations and Gender Survey) data from 2005. Direct marriages are the most stable unions, cohabitations are the least stable. Among couples who were not married, the odds of dissolution increased by 142 per cent (in comparison to marriages without pre-marital cohabitation). This ‘marriage premium’ increased after 1989. Marriage timing has come to play an increasingly important role. In the pre-1989 marriage cohort, pre-birth and post-birth marriage had the same stabilising effect. After 1989, however, pre-delivery wedding stabilises unions more than post-delivery legitimising marriages. We conclude that the era of highly individualised partnership choices has clearly shone a light on the consequences of these choices for subsequent union stability.",7,7_timing_acceptance_family_age,"['timing', 'acceptance', 'family', 'age', 'marital', 'status', 'division', 'likely', 'men', 'change']","[""How will the instability and diversity of family forms today impact the nature of people's close social relationships in the future when they are older? In this article I examine how the social participation of older adults is impacted by their different partnership histories. I am particularly interested in whether there are any differences in the social participation (activities involving contact with family, friends, acquaintances, children, grandchildren) of people who experienced divorce in life (I use a decomposition of the divorce rate to distinguish between those who had this experience when they were relatively young, middle-aged, or older). The data source for this analysis is the panel survey 'Dynamics of Change in Czech Society' and especially one unique component of the survey, which are the diaries on how people spend their time. Out of the total sample of respondents who maintained daily diary entries, I analyse the responses of those over the age of 60. The hypotheses that a lower level of social participation would be observed among people who had experienced divorced and that divorcing later in life would have a stronger negative effect on social participation are not confirmed by the data. The level of social participation measured using time-use diaries is found to be comparable across different partnership histories and irrespective of when in life a person gets divorced. In the conclusion of the article, I discuss these findings in a criticism of the overly negative paradigm that governs research on divorce in the social sciences."", 'The conventional optics of social stratification research—in which the social position of the family unit is seen as being determined by the status of the male head of the household—have been challenged since the early 1970s. Similarly, economic research which views the household as a single unit has been questioned. Changing family circumstances and the increased share of couples in which the woman has higher earnings, education, and socioeconomic status mean that both these perspectives needs reformulating. The authors illustrate these issues using the European Union Statistics on Income and Living Conditions survey (EU-SILC) for five Central European countries (the Czech Republic, Hungary, Poland, Slovakia, and Austria) and draw on its 2006–2016 time series to present the characteristics of partners in couples and the relations between them. Female primacy has increased either in earnings, education, or socio-economic category in all countries except Hungary. The authors use the EU-SILC 2010 ‘Module on Intra-household Sharing of Resources’ to test the hypothesis that a direct link exists between partners’ social status split and separate welfare status, where female primacy in relevant characteristics is taken as a proxy for social status split, while separate welfare status is indicated by partners’ budgetary discretion. The hypothesis is confirmed for Austria, the Czech Republic, and Slovakia, but not for Hungary and Poland. Apart from the personal factors of social status split, two family factors are strongly related to the probability of the budgetary discretion of couple partners across all countries: household income and marital status.', 'Sociological theories that work with the concept of individualisation assume, among other things, the occurrence of changes in the life course and especially in the timing and incidence of demographic transitions. Although it is not easy to establish a firm definition of individualisation, most researchers studying demographic phenomena work with the concepts of differentiation and de-standardisation. If we understand individualisation as a structural fact and leave aside its subjective component (individualised identity is not necessary linked to structural changes), it must initially emerge on the aggregate level in the form of the differentiation of life courses or the different timing of transitions. For example, individuals begin to marry and have children at different ages. It then becomes apparent at the individual level in the form of the de-standardisation of the life course, thus not just as a change in timing, but also as a change in the order and realisation of individual transitions. For example, the birth of a child does not necessarily occur after marriage. So it is not just shifts in timing that are of interest - these have already been sufficiently studied in Czech demography - but also and above all the comparative distributions of these demographic phenomena. In this article the analysis works with two life transitions - marriage and first-order births - and using time series from 1920 to 2004 the authors examine the dispersion in timing of these transitions over a large segment of the 20th century. Using more detailed data from the post-1989 transformation period, in addition to dispersion the authors also examine changes in the intervals between marriages and births and education as a factor in the observed phenomena. As a key indicator of life-course differentiation they use the dispersion in marriage timing and its trend over the 20th century, and as an indicator of the de-standardisation of life courses in the 1990s they use the interval between marriage and first-order births.']",timing - acceptance - family - age - marital - status - division - likely - men - change,1.0,False
1,"This study investigates changes in the effect of parental divorce on the odds of union dissolution in children in the Czech Republic. Using survival analysis and Czech GGS data, it shows that the intergeneration transmission of divorce varied over marital cohorts to a significant degree. While parental divorce had insignificant effect in the oldest marriage cohort, it subsequently grew. In the 1980–1989 marriage cohort, the risk of divorce was 3.7 times higher among children of divorced parents than among children whose parents did not divorce. In the most recent marriage cohort (1990–2005), the parental divorce effect weakened but was still significant: children of divorced parents experienced a divorce risk that was twice as high that of children from intact families. This convergence of divorce risks resulted from two parallel trends: the rising divorce risk among children from non-divorced families and the declining divorce risk among children of divorce.",7,7_timing_acceptance_family_age,"['timing', 'acceptance', 'family', 'age', 'marital', 'status', 'division', 'likely', 'men', 'change']","[""How will the instability and diversity of family forms today impact the nature of people's close social relationships in the future when they are older? In this article I examine how the social participation of older adults is impacted by their different partnership histories. I am particularly interested in whether there are any differences in the social participation (activities involving contact with family, friends, acquaintances, children, grandchildren) of people who experienced divorce in life (I use a decomposition of the divorce rate to distinguish between those who had this experience when they were relatively young, middle-aged, or older). The data source for this analysis is the panel survey 'Dynamics of Change in Czech Society' and especially one unique component of the survey, which are the diaries on how people spend their time. Out of the total sample of respondents who maintained daily diary entries, I analyse the responses of those over the age of 60. The hypotheses that a lower level of social participation would be observed among people who had experienced divorced and that divorcing later in life would have a stronger negative effect on social participation are not confirmed by the data. The level of social participation measured using time-use diaries is found to be comparable across different partnership histories and irrespective of when in life a person gets divorced. In the conclusion of the article, I discuss these findings in a criticism of the overly negative paradigm that governs research on divorce in the social sciences."", 'The conventional optics of social stratification research—in which the social position of the family unit is seen as being determined by the status of the male head of the household—have been challenged since the early 1970s. Similarly, economic research which views the household as a single unit has been questioned. Changing family circumstances and the increased share of couples in which the woman has higher earnings, education, and socioeconomic status mean that both these perspectives needs reformulating. The authors illustrate these issues using the European Union Statistics on Income and Living Conditions survey (EU-SILC) for five Central European countries (the Czech Republic, Hungary, Poland, Slovakia, and Austria) and draw on its 2006–2016 time series to present the characteristics of partners in couples and the relations between them. Female primacy has increased either in earnings, education, or socio-economic category in all countries except Hungary. The authors use the EU-SILC 2010 ‘Module on Intra-household Sharing of Resources’ to test the hypothesis that a direct link exists between partners’ social status split and separate welfare status, where female primacy in relevant characteristics is taken as a proxy for social status split, while separate welfare status is indicated by partners’ budgetary discretion. The hypothesis is confirmed for Austria, the Czech Republic, and Slovakia, but not for Hungary and Poland. Apart from the personal factors of social status split, two family factors are strongly related to the probability of the budgetary discretion of couple partners across all countries: household income and marital status.', 'Sociological theories that work with the concept of individualisation assume, among other things, the occurrence of changes in the life course and especially in the timing and incidence of demographic transitions. Although it is not easy to establish a firm definition of individualisation, most researchers studying demographic phenomena work with the concepts of differentiation and de-standardisation. If we understand individualisation as a structural fact and leave aside its subjective component (individualised identity is not necessary linked to structural changes), it must initially emerge on the aggregate level in the form of the differentiation of life courses or the different timing of transitions. For example, individuals begin to marry and have children at different ages. It then becomes apparent at the individual level in the form of the de-standardisation of the life course, thus not just as a change in timing, but also as a change in the order and realisation of individual transitions. For example, the birth of a child does not necessarily occur after marriage. So it is not just shifts in timing that are of interest - these have already been sufficiently studied in Czech demography - but also and above all the comparative distributions of these demographic phenomena. In this article the analysis works with two life transitions - marriage and first-order births - and using time series from 1920 to 2004 the authors examine the dispersion in timing of these transitions over a large segment of the 20th century. Using more detailed data from the post-1989 transformation period, in addition to dispersion the authors also examine changes in the intervals between marriages and births and education as a factor in the observed phenomena. As a key indicator of life-course differentiation they use the dispersion in marriage timing and its trend over the 20th century, and as an indicator of the de-standardisation of life courses in the 1990s they use the interval between marriage and first-order births.']",timing - acceptance - family - age - marital - status - division - likely - men - change,1.0,False
2,"The concept of the fourth age has until recently been an overlooked topic in social gerontology, which in past decades has focused more closely on the third age. This article provides an overview of commonly applied definitions of the fourth age. It focuses on concepts that do not view the fourth age as an unavoidable stage in life but rather as a stage in which the shared vulnerabilities and responsibilities for care that some older adults may experience need to be recognised. The article devotes a more in-depth discussion to the issue of agency in the fourth age, the possibilities for the existence of agency, and forms of agency. It challenges the idea that the fourth age is a stage in life without agency and argues that agency can be identified through its relational definitions. It also highlights the problems of understanding independence in the context of advanced old age. The article draws attention to the risk of greater polarisation in old age that lies in the positive value ascribed in current social gerontology to the dominant concept of the third age and in associating the negative stereotypes of old age with just the fourth age. The conclusion highlights the problems surrounding the possibility of active ageing in the fourth age.",8,8_care_age_old_roles,"['care', 'age', 'old', 'roles', 'active', 'older', 'fourth', 'relationships', 'body', 'role']","['Grandparental care of grandchildren is a highly gendered institution, with women being more likely to participate in it than men. This article studies whether and why care by grandmothers and grandfathers is influenced by their family arrangement. Following previous research, the authors focus on the mediating role of grandmothers in the involvement of men in caring for their grandchildren. We use a combination of quantitative and qualitative data about grandparents with small grandchildren (under ten years of age). The quantitative analysis is based on SHARE data and identifies whether the involvement in care depends on gender and the partnership arrangements of grandparents, controlling for a number of other characteristics of families. The analysis reveals a strong positive impact of the presence of a partner on the engagement of men (but not women) in grandparental care. This effect is present among both intact families and families with more complex arrangements. The qualitative analysis of 20 interviews with mothers and 20 interviews with grandmothers provides a deeper understanding of these results. It shows that the involvement of grandparents is shaped by the gender-specific notions of care competence and grandparental roles held by the participants and also by the kin-keeping activities of women. Grandmothers, compared to their male counterparts, are perceived as more capable of satisfying the needs of a small child. They also do more work on maintaining intergenerational family relationships and arranging care. They actively (sometimes in very sophisticated ways) involve their partners in the care of grandchildren.', ""Older age, especially advanced age, is accompanied by changes in the social relations amongst the elderly and specifically by a decrease in the size of their social networks: peers pass away and contact with other people may be restricted, often due to declining physical and mental strength. Gerontosociology notes the elderly's preferential focus on the family, which is usually defined in terms of intergenerational relationships and a support network in old age. Relationships with siblings lie outside the research interest of gerontosociology because they are considered peer relationships, which is to say that they, too, are subject to the effects of ageing and old age and, consequently, are less reliable as a source of help or care. However, the article shows that the elderly assign meaning to their relationships with their siblings, which go beyond mere instrumental assistance and which challenges the generally accepted view that sibling bonds are of secondary importance compared to relationships between older parents and adult children. The article answers the question of what the essence of siblinghood in old age is, its possible forms, and in what ways (according to what rules) the elderly maintain or develop sibling relationships - how they communicate in interactions with each other and in interactions with other members of their family of procreation and their shared family of origin. The article is based on the results of an analysis of data from a qualitative study carried out by conducting unstructured individual and group interviews as part of the project 'Greying Siblinghood: Sociological Study of Siblinghood in Late Adulthood'. In the theoretical framework of interpretive sociology, in which the article is anchored, both the key concepts of the relationist approach (family configuration, relatedness, belongingness, practices and rules of kinship interaction) and the concept of kinship ambivalence come to the forefront."", 'This paper summarises the knowledge about transition from the third age to what is called the fourth age. The study understands ageing as an embodied process and explores the meanings that are attached to the body in the narratives of older persons who have acquired impairment in later life and are receiving care. Because the onset of impairment and infirmity marks a point of transition, the study considers the bodily aspects of the ageing process as key elements, despite this being highly problematic in current social gerontology. The authors call for a complex approach to understanding the meanings of the body in the transitions into old age and drawing on their own study based on three repeated interviews with ten older adults conducted over the course of one year (8 women, mean age = 83.8 years), they explore the meanings that are attached to the body in the context of receiving care. Their analysis of the personal accounts and narratives of everyday activities from the participants in their study revealed that embodiment in action is the main topic through which participants experienced their everydayness. The meanings of embodiment in action are shaped and reconstructed on three dimensions that capture important processes of embodiment in action: the sensing of the body (the Body as an Organiser of Activities), anticipation of the body (the Body as an Uncertain Companion), and the managing of the body (the Body as Work to Be Done). The findings offer insights into the processes of transitions in old age, in which the emotional, social, and behavioural aspects of embodiment in action, rather than age, play the key role. The study further highlights that the meanings of the body are complex, highly relevant, and should not be overlooked within the organisational practice of social and health care.']",care - age - old - roles - active - older - fourth - relationships - body - role,1.0,False
3,"Although international comparisons point to the gender pay gap (GPG) as a significant problem in the Czech labour market, until recently the GPG has not been the subject of deeper research or political attention. Using linked employer–employee data, the article answers the question of whether men and women were paid an equal wage for equal work in 2005–2020 and what part of the total GPG is caused by the segregation of women and men into different occupations, workplaces, and jobs. We also pose these questions separately for the public and private spheres, for selected industries, and for workplaces according to size. Throughout the monitored period, the GPG for equal work is around 10% and another roughly one-half of total GPG is caused by gender segregation. There has been a slight decrease since 2018, especially in workplaces with more than 5000 employees, where, however, the significance of women’s segregation into lower-paid positions is growing. The research confirmed that in more regulated, and therefore more transparent, contexts, such as the public sphere and in large workplaces (but also in small companies with up to 50 employees), the GPG for equal work is smaller than elsewhere. The results point to the need to systematically monitor the GPG and increase the transparency of remuneration systems in the workplace. In connection with the GPG, it will also be necessary to analyse the organisational processes that lead to women’s segregation into occupations, workplaces, and jobs that have lower wages, as well as the growing precarity of the Czech labour market.",11,11_parental_conditions_mothers_balance,"['parental', 'conditions', 'mothers', 'balance', 'working', 'employment', 'work', 'children', 'child', 'labour market']","[""The article focuses on the use of childcare for preschool-age children in 13 European countries with different models of maternal employment. Employing a comparative approach it relates care arrangements to family policy measures. Childcare policies and practices in post-communist countries (the Czech Republic, Bulgaria, Hungary, Poland, Slovakia, and Slovenia) are compared in a wider European context and specifically to various countries representing the principal types of welfare state and family policy strategies in Europe (the United Kingdom, Germany, Austria, Italy, France, Spain, and Sweden). The article focuses on parental leave schemes, parental employment, and formal childcare and takes into account informal childcare, which in many countries is crucial to achieving a work-life balance. The authors' findings reveal that the use of informal childcare is not directly related to either the length of paid parental leave or maternal employment. Informal childcare, which in most cases is provided by grandparents, is used on a weekly basis for at least thirty per cent of preschool-age children in all the post-communist countries studied except Bulgaria. However, similarly high levels of informal childcare were also found in the United Kingdom, Italy, and Austria. Gendered moral rationalities based on cultural norms play an important role in division of childcare in each European state."", 'Research on precarious work and the working conditions of low-wage workers often stresses the role of the labour market or state institutions in either creating or exacerbating already precarious working conditions. However, it often ignores their organisational aspects. At the same time, in organisation studies there is a large body of literature that focuses on internal organisational structures but disregards working conditions. This article is based on a case study of supermarket cashiers and deals with the flexibilisation of their work. Firms use two forms of flexibility as a cost-cutting strategy: numerical and functional flexibility. Numerical flexibility divides workers into different groups according to their work contract. This enables firms to employ as much labour as they need at a particular point in time. In effect firms reduce the number of employees while intensifying the work of the employees they retain. In the case of functional flexibility the duties and responsibilities attached to a job are redefined. In this respect, I show that the duties of the cashiers in my case study are increased beyond the scope of tasks traditionally attached to this occupation and head towards the model of a universal worker. This shift leads to a decline in qualifications that, combined with technological changes, results in the degradation of work. As a result, flexibilisation processes deepen existing asymmetries in employer-employee relationships and thereby enable firms to transfer a significant amount of market risk onto the shoulders of workers. Moreover, the negotiating position of workers remains weak and their wages low.', ""In this article the authors map the theoretical arguments on the gender dimension of the welfare state. They propose three integral dimensions of conceptualising the exercise of parenthood in Czech society in relation to gender equality in the labour market that co-determine the position of parents in the labour market. The authors analyse these dimensions using data from two representative sociological surveys. 1) The right to be a parent (to care for one's child) and the right to work: the measures provided in the Czech welfare state are based on the myth that there are two separate worlds of work and care in conformity with the gender principle, even though there are no significant differences between Czech men and women in terms of the value of work in their lives. 2) Equality or non-discrimination in parenthood: the right to work of mothers of young children is violated in the context of generally increasing gender inequalities in the labour market. 3) The opportunity to achieve a work/life balance: in Czech society flexible forms of employment are uncommon, working hours tend to have a fixed start and finish, or there is negative flexibility, which renders a work/life balance impossible. The way in which state policy defines and employers apply the conditions of parenthood in relation to the labour market and in the context of the gender structure of Czech society makes parenthood a significant handicap for the social inclusion of women who are mothers of young children in the Czech Republic.""]",parental - conditions - mothers - balance - working - employment - work - children - child - labour market,0.35299472016434397,False
4,"When the experiences of migration and becoming a mother intersect, the context and conditions of this have implications for the health of the women and their children. This article presents an overview of social-science research on health and pregnancy among migrant women and on the perinatal and postpartum care they receive. Research on 124 studies on this subject revealed that there are three main themes associated with maternal health in this context: (1) How women are defined and categorised as migrants: This is often based on a single indicator, country of origin or birth. This creates a simplified and homogenising category that then also serves as the basis for the use of more complex categories. (2) The significance of social support for families, especially with respect to informal care, and the fundamental role of language and language barriers in health care. The relationship between migrant women and health-care providers is impacted by cultural differences, which leave women in a vulnerable position. (3) Macro-sociological and epidemiological factors. These are discussed mainly from the perspective of the 'epidemiological paradox', which the authors here deem a rhetorical trick because it conceals the variableness of the findings obtained from perinatal health indicators.",6,6_health_women_child_children,"['health', 'women', 'child', 'children', 'remain', 'men', 'birth', 'care', 'female', 'experiences']","[""In the 1970s and 1980s, Poland, like most other countries in the region, provided not only unlimited access to abortion and contraceptives, but also a liberal sex education. This period moreover constituted a golden age in sexology in the country. Sexual science developed as a holistic discipline, embracing achievements in medicine, psychology, sociology, anthropology, philosophy, history, and religious studies, providing recourses for sex education and therapy. Sexuality was perceived as multidimensional and embedded in relationships, culture, economy, and society at large. This approach was fundamentally different from the biomedical model, which started to develop rapidly in the United States after Masters and Johnson's publication of Human Sexual Response in 1966. Contemporary feminist critics like Leonore Tiefer point out that Masters and Johnson's approach initiated the process of biomedicalisation and commodification of sexuality and led to the domination of pharmaceutical industries in sex therapy. Meanwhile, owing to the given political and economic context, socialist sexual science was not tied to the market and remained holistic until the advent of capitalism in the 1990s. Along with the invention of Viagra, the free market significantly reshaped the field of sex therapy, giving priority to pharmacotherapy, promoting new sexual dysfunctions, and marginalising other forms of treatment. Nevertheless, Polish sexology was not fully transformed. It proved surprisingly resilient to the influence of pharmaceutical industries and the holistic approach to sex therapy remains highly valued and often practised; pharmacotherapy is perceived as insufficient and sexual dysfunctions, including erectile dysfunctions, are frequently treated using psychotherapy, which takes into account not only psychological but also social, economic and cultural issues. This article is based on the author's ethnographic and archival research on the development of Polish sexology since the 1970s. She focuses on the relationship between sexuality, socialism, and capitalism and shows that an analysis of socialist sexology sheds light on the nature of the contemporary hegemonic understating of sexuality and sex therapy."", ""This article focuses on remaining childless as a result of certain choices and constraints (not on becoming childless as a result of outliving children). There are two main aims of this study. First it seeks to reveal whether any specific features appear when (temporarily) childless people are compared with those having children in the same cohorts. It also aims to explore what kinds of factors can lead to childlessness (or more precisely, the prolongation of a childless period in life) among those men and women who, according to their self-assessment, were not prevented from having children by their own or their partner's health constraints. The analysis draws on GGS data from the first three waves of the Hungarian panel survey 'Turning Points of the Life Course' conducted in 2001, 2004, and 2008. The focus is on men and women who were childless in 2001 and were still childless in 2008. According to the findings, events directly connected to childbearing, such as having a stable partner or not having a partner, living in cohabitation or in marriage, have more influence on decisions about becoming parents than normative expectations, while economic factors (such as having a job) have some impact mainly on postponing childbearing, but do not seem to influence directly whether people will remain childless."", ""The transformation of the social institution of the family in an individualised society is tied also to other demands and expectations relating to parenthood, and fatherhood is no exception in this regard. This article focuses on fathers who have accepted the modern norm of fatherhood and have played an active role by personally caring for their children, in particular, as primary carers during their period of parental leave. The entry of fathers into a sphere our culture has traditionally defined as belonging to women necessarily raises one basic question - 'What does the experience of caring for their children mean in the minds of fathers?' - which contains an entire series of other more specific questions: How do these men interpret fatherhood? Is the experience of caring for their children reflected in how these men construct gender identities and what does this mean from the perspective of the production of gender and gender relations? Interviews based on a prepared scenario were conducted on a sample of twenty families in which the father had taken parental leave, and the resulting data was analysed with the aid of grounded theory in an effort to answer the questions outlined above. Of particular interest in the analysis are the interpretative frameworks that the actors employ in their perception of experienced reality and to what outcome or how much applies the constructivist perspective of making gender, which permits a focus on the similarities and differences between men and women and within those categories. The findings contribute to the understanding of the construction of fatherhood in this group of fathers, of gender and gender relations, and of how gender stereotypes operate on the micro level of Czech society.""]",health - women - child - children - remain - men - birth - care - female - experiences,0.6062291028406928,False
5,"The paper focuses on organisations and the conditions for working parents in terms of combining work and care and how those conditions are set up and negotiated in organisations. The research draws on three case studies comparing pairs of companies active in the Czech Republic and in one of the following countries - Germany, France, and Sweden - in the field of engineering. The goal is to explore in depth the conditions that Czech working parents are faced with and that derive from the organisational processes and means and dynamics of negotiating conditions for working parents, and to compare them with the conditions in other countries and identify the sources of variability of these conditions. Important differences between a company's family-friendly practices in its home country and in its Czech branches are primarily determined by the differences in the way in which welfare regimes are set up in individual countries. In addition, the authors identify the following five main interlinked factors explaining the variability of family-friendly policies and practices in organisations: parental (maternity) ideologies, the organisational culture of non-discrimination and equal opportunities, the actors' activity in work relations, the role of trade unions in negotiations, and the given organisation's experience with employees-parents.",11,11_parental_conditions_mothers_balance,"['parental', 'conditions', 'mothers', 'balance', 'working', 'employment', 'work', 'children', 'child', 'labour market']","[""The article focuses on the use of childcare for preschool-age children in 13 European countries with different models of maternal employment. Employing a comparative approach it relates care arrangements to family policy measures. Childcare policies and practices in post-communist countries (the Czech Republic, Bulgaria, Hungary, Poland, Slovakia, and Slovenia) are compared in a wider European context and specifically to various countries representing the principal types of welfare state and family policy strategies in Europe (the United Kingdom, Germany, Austria, Italy, France, Spain, and Sweden). The article focuses on parental leave schemes, parental employment, and formal childcare and takes into account informal childcare, which in many countries is crucial to achieving a work-life balance. The authors' findings reveal that the use of informal childcare is not directly related to either the length of paid parental leave or maternal employment. Informal childcare, which in most cases is provided by grandparents, is used on a weekly basis for at least thirty per cent of preschool-age children in all the post-communist countries studied except Bulgaria. However, similarly high levels of informal childcare were also found in the United Kingdom, Italy, and Austria. Gendered moral rationalities based on cultural norms play an important role in division of childcare in each European state."", 'Research on precarious work and the working conditions of low-wage workers often stresses the role of the labour market or state institutions in either creating or exacerbating already precarious working conditions. However, it often ignores their organisational aspects. At the same time, in organisation studies there is a large body of literature that focuses on internal organisational structures but disregards working conditions. This article is based on a case study of supermarket cashiers and deals with the flexibilisation of their work. Firms use two forms of flexibility as a cost-cutting strategy: numerical and functional flexibility. Numerical flexibility divides workers into different groups according to their work contract. This enables firms to employ as much labour as they need at a particular point in time. In effect firms reduce the number of employees while intensifying the work of the employees they retain. In the case of functional flexibility the duties and responsibilities attached to a job are redefined. In this respect, I show that the duties of the cashiers in my case study are increased beyond the scope of tasks traditionally attached to this occupation and head towards the model of a universal worker. This shift leads to a decline in qualifications that, combined with technological changes, results in the degradation of work. As a result, flexibilisation processes deepen existing asymmetries in employer-employee relationships and thereby enable firms to transfer a significant amount of market risk onto the shoulders of workers. Moreover, the negotiating position of workers remains weak and their wages low.', ""In this article the authors map the theoretical arguments on the gender dimension of the welfare state. They propose three integral dimensions of conceptualising the exercise of parenthood in Czech society in relation to gender equality in the labour market that co-determine the position of parents in the labour market. The authors analyse these dimensions using data from two representative sociological surveys. 1) The right to be a parent (to care for one's child) and the right to work: the measures provided in the Czech welfare state are based on the myth that there are two separate worlds of work and care in conformity with the gender principle, even though there are no significant differences between Czech men and women in terms of the value of work in their lives. 2) Equality or non-discrimination in parenthood: the right to work of mothers of young children is violated in the context of generally increasing gender inequalities in the labour market. 3) The opportunity to achieve a work/life balance: in Czech society flexible forms of employment are uncommon, working hours tend to have a fixed start and finish, or there is negative flexibility, which renders a work/life balance impossible. The way in which state policy defines and employers apply the conditions of parenthood in relation to the labour market and in the context of the gender structure of Czech society makes parenthood a significant handicap for the social inclusion of women who are mothers of young children in the Czech Republic.""]",parental - conditions - mothers - balance - working - employment - work - children - child - labour market,1.0,False
6,"In this article the authors map the theoretical arguments on the gender dimension of the welfare state. They propose three integral dimensions of conceptualising the exercise of parenthood in Czech society in relation to gender equality in the labour market that co-determine the position of parents in the labour market. The authors analyse these dimensions using data from two representative sociological surveys. 1) The right to be a parent (to care for one's child) and the right to work: the measures provided in the Czech welfare state are based on the myth that there are two separate worlds of work and care in conformity with the gender principle, even though there are no significant differences between Czech men and women in terms of the value of work in their lives. 2) Equality or non-discrimination in parenthood: the right to work of mothers of young children is violated in the context of generally increasing gender inequalities in the labour market. 3) The opportunity to achieve a work/life balance: in Czech society flexible forms of employment are uncommon, working hours tend to have a fixed start and finish, or there is negative flexibility, which renders a work/life balance impossible. The way in which state policy defines and employers apply the conditions of parenthood in relation to the labour market and in the context of the gender structure of Czech society makes parenthood a significant handicap for the social inclusion of women who are mothers of young children in the Czech Republic.",11,11_parental_conditions_mothers_balance,"['parental', 'conditions', 'mothers', 'balance', 'working', 'employment', 'work', 'children', 'child', 'labour market']","[""The article focuses on the use of childcare for preschool-age children in 13 European countries with different models of maternal employment. Employing a comparative approach it relates care arrangements to family policy measures. Childcare policies and practices in post-communist countries (the Czech Republic, Bulgaria, Hungary, Poland, Slovakia, and Slovenia) are compared in a wider European context and specifically to various countries representing the principal types of welfare state and family policy strategies in Europe (the United Kingdom, Germany, Austria, Italy, France, Spain, and Sweden). The article focuses on parental leave schemes, parental employment, and formal childcare and takes into account informal childcare, which in many countries is crucial to achieving a work-life balance. The authors' findings reveal that the use of informal childcare is not directly related to either the length of paid parental leave or maternal employment. Informal childcare, which in most cases is provided by grandparents, is used on a weekly basis for at least thirty per cent of preschool-age children in all the post-communist countries studied except Bulgaria. However, similarly high levels of informal childcare were also found in the United Kingdom, Italy, and Austria. Gendered moral rationalities based on cultural norms play an important role in division of childcare in each European state."", 'Research on precarious work and the working conditions of low-wage workers often stresses the role of the labour market or state institutions in either creating or exacerbating already precarious working conditions. However, it often ignores their organisational aspects. At the same time, in organisation studies there is a large body of literature that focuses on internal organisational structures but disregards working conditions. This article is based on a case study of supermarket cashiers and deals with the flexibilisation of their work. Firms use two forms of flexibility as a cost-cutting strategy: numerical and functional flexibility. Numerical flexibility divides workers into different groups according to their work contract. This enables firms to employ as much labour as they need at a particular point in time. In effect firms reduce the number of employees while intensifying the work of the employees they retain. In the case of functional flexibility the duties and responsibilities attached to a job are redefined. In this respect, I show that the duties of the cashiers in my case study are increased beyond the scope of tasks traditionally attached to this occupation and head towards the model of a universal worker. This shift leads to a decline in qualifications that, combined with technological changes, results in the degradation of work. As a result, flexibilisation processes deepen existing asymmetries in employer-employee relationships and thereby enable firms to transfer a significant amount of market risk onto the shoulders of workers. Moreover, the negotiating position of workers remains weak and their wages low.', ""In this article the authors map the theoretical arguments on the gender dimension of the welfare state. They propose three integral dimensions of conceptualising the exercise of parenthood in Czech society in relation to gender equality in the labour market that co-determine the position of parents in the labour market. The authors analyse these dimensions using data from two representative sociological surveys. 1) The right to be a parent (to care for one's child) and the right to work: the measures provided in the Czech welfare state are based on the myth that there are two separate worlds of work and care in conformity with the gender principle, even though there are no significant differences between Czech men and women in terms of the value of work in their lives. 2) Equality or non-discrimination in parenthood: the right to work of mothers of young children is violated in the context of generally increasing gender inequalities in the labour market. 3) The opportunity to achieve a work/life balance: in Czech society flexible forms of employment are uncommon, working hours tend to have a fixed start and finish, or there is negative flexibility, which renders a work/life balance impossible. The way in which state policy defines and employers apply the conditions of parenthood in relation to the labour market and in the context of the gender structure of Czech society makes parenthood a significant handicap for the social inclusion of women who are mothers of young children in the Czech Republic.""]",parental - conditions - mothers - balance - working - employment - work - children - child - labour market,1.0,True
